 | Origin: Brussels |  Destination: Budapest | Date of the flight: 2019-06-20 | Departure time: 17:30 | Arrival time: 19:30 | Airplain make: Airbus | Airplain model: A330 Capacity: 335 seats | Pilot name: Ivan Montgomery | Pilot rating: 3
 | Origin: Dublin |  Destination: Barcelona | Date of the flight: 2019-06-04 | Departure time: 18:30 | Arrival time: 20:30 | Airplain make: Airbus | Airplain model: A320 Capacity: 186 seats | Pilot name: Hilary Ferguson | Pilot rating: 3
 | Origin: Brussels |  Destination: Edinburgh | Date of the flight: 2019-06-24 | Departure time: 9:30 | Arrival time: 11:30 | Airplain make: Airbus | Airplain model: A330 Capacity: 335 seats | Pilot name: Ivan Montgomery | Pilot rating: 3
 | Origin: Rome |  Destination: London | Date of the flight: 2019-06-26 | Departure time: 6:30 | Arrival time: 9:30 | Airplain make: Boeing | Airplain model: 777 Capacity: 396 seats | Pilot name: Beryl Travis | Pilot rating: 4
 | Origin: Paris |  Destination: Barcelona | Date of the flight: 2019-06-27 | Departure time: 17:30 | Arrival time: 19:30 | Airplain make: Boeing | Airplain model: 777 Capacity: 396 seats | Pilot name: Ivan Montgomery | Pilot rating: 3
 | Origin: Paris |  Destination: Budapest | Date of the flight: 2019-06-22 | Departure time: 14:30 | Arrival time: 16:30 | Airplain make: Boeing | Airplain model: 747 Capacity: 400 seats | Pilot name: Lilly Prince | Pilot rating: 3
 | Origin: Rome |  Destination: London | Date of the flight: 2019-06-02 | Departure time: 11:30 | Arrival time: 14:30 | Airplain make: Airbus | Airplain model: A320 Capacity: 186 seats | Pilot name: Hilary Ferguson | Pilot rating: 3
 | Origin: Paris |  Destination: Lisbon | Date of the flight: 2019-06-24 | Departure time: 18:30 | Arrival time: 21:30 | Airplain make: Boeing | Airplain model: 747 Capacity: 400 seats | Pilot name: Lyndon Eaton | Pilot rating: 4
 | Origin: Dublin |  Destination: Munich | Date of the flight: 2019-06-23 | Departure time: 19:30 | Arrival time: 21:30 | Airplain make: Boeing | Airplain model: 747 Capacity: 400 seats | Pilot name: Zack Payne | Pilot rating: 3
 | Origin: Amsterdam |  Destination: Budapest | Date of the flight: 2019-06-29 | Departure time: 12:30 | Arrival time: 14:30 | Airplain make: Boeing | Airplain model: 777 Capacity: 396 seats | Pilot name: Beryl Travis | Pilot rating: 4
 | Origin: Prague |  Destination: Copenhagen | Date of the flight: 2019-06-02 | Departure time: 14:30 | Arrival time: 15:30 | Airplain make: Boeing | Airplain model: 747 Capacity: 400 seats | Pilot name: Grady Rasmussen | Pilot rating: 3
 | Origin: Madrid |  Destination: Barcelona | Date of the flight: 2019-06-20 | Departure time: 13:30 | Arrival time: 14:30 | Airplain make: Boeing | Airplain model: 747 Capacity: 400 seats | Pilot name: Peter Hartman | Pilot rating: 3
 | Origin: Vienna |  Destination: Munich | Date of the flight: 2019-06-08 | Departure time: 12:30 | Arrival time: 13:30 | Airplain make: Boeing | Airplain model: 747 Capacity: 400 seats | Pilot name: Zack Payne | Pilot rating: 3
 | Origin: Madrid |  Destination: Budapest | Date of the flight: 2019-06-30 | Departure time: 6:30 | Arrival time: 9:30 | Airplain make: Boeing | Airplain model: 747 Capacity: 400 seats | Pilot name: Charlene Webster | Pilot rating: 4
 | Origin: Paris |  Destination: London | Date of the flight: 2019-06-23 | Departure time: 15:30 | Arrival time: 16:30 | Airplain make: Boeing | Airplain model: 777 Capacity: 396 seats | Pilot name: Ivan Montgomery | Pilot rating: 3
 | Origin: Paris |  Destination: Edinburgh | Date of the flight: 2019-06-17 | Departure time: 18:30 | Arrival time: 20:30 | Airplain make: Airbus | Airplain model: A320 Capacity: 186 seats | Pilot name: Christina Donaldson | Pilot rating: 4
 | Origin: Berlin |  Destination: Edinburgh | Date of the flight: 2019-06-14 | Departure time: 7:30 | Arrival time: 9:30 | Airplain make: Airbus | Airplain model: A320 Capacity: 186 seats | Pilot name: Liliana Charles | Pilot rating: 4
